Comment,Description,Designator,Footprint,LibRef,Quantity

"GRM31CR60J476ME19L","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 47uF, X5R, 15%, 20%, 6.3V","C1, C2, C4, C5, C7, C8","FP-GRM31C-0_2-e0_3_0_8-IPC_C","CMP-2000-06344-2","6"
"Unpopulated","Generic Capacitor","C3, C6, C9","2012[0805]_M","Capacitor","3"
"503480-0800","0.5 mm Pitch Easy-On(TM) BackFlip(TM) Type FPC Connector, 1.0 mm Mated Height, Right Angle, SMT, Dual Contact, 8 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel","J1","MOLX-503480-0800","CMP-1241-00114-1","1"
"DCMotor","Generic DC motor","M1, M2, M3","CABLE-TERMINAL1x2","CMP-034-000000-1","3"
"ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1, R2, R3, R4, R5, R6","RESC1609X55X30ML15T15","CMP-1012-00623-3","6"
"BD6210HFP-TR","IC MOTOR DRIVER 3V-5.5V HRP7","U1, U2, U3","FP-HRP7-MFG","CMP-08935-000017-1","3"
